                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8676,                 4.4029,                 2.5248,                0.00238,                0.55556,                0.01363,                0.00246,                 2.6927,                 5.4512,                 2.6098,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.6927,                 4.2382,                 2.5124,                0.00357,                0.83333,                0.02114,                0.00406,                 2.2668,                 4.8027,                 2.2538,             0.00021989,             0.00021989,             0.00021989
                      3,                 2.1859,                 3.7337,                 2.1749,                0.00405,                0.94444,                0.20354,                0.05591,                 1.8023,                 4.4296,                 1.8786,             0.00033966,             0.00033966,             0.00033966
                      4,                 2.0438,                 3.2767,                 2.0265,                0.00429,                      1,                0.28634,                0.10632,                 1.8073,                 4.1356,                 1.6434,             0.00045932,             0.00045932,             0.00045932
                      5,                 1.9467,                 3.0973,                 1.8781,                0.00429,                      1,                0.18776,                0.04595,                 1.9317,                 4.2699,                 1.7266,             0.00057885,             0.00057885,             0.00057885
                      6,                 1.9162,                 2.7499,                 1.8418,                0.00405,                0.94444,                0.19829,                 0.0802,                 1.7958,                  4.188,                 1.6217,             0.00069827,             0.00069827,             0.00069827
                      7,                 1.9211,                 2.6285,                 1.8438,                0.33891,                0.28522,                0.29466,                0.07601,                 1.7743,                 4.1266,                  1.679,             0.00081756,             0.00081756,             0.00081756
                      8,                 1.9169,                 2.8258,                 1.7849,                0.55366,                0.22222,                0.40955,                0.20875,                 1.9331,                  4.287,                 1.6746,             0.00093674,             0.00093674,             0.00093674
                      9,                 1.9337,                 2.6702,                 1.9644,                0.00611,                0.88889,                0.03014,                0.01054,                 2.2821,                 4.4967,                 2.1397,              0.0010558,              0.0010558,              0.0010558
                     10,                 2.0264,                 2.6177,                 2.0076,                0.01436,                0.88889,                0.12049,                0.04489,                   2.11,                 3.9813,                 1.9451,              0.0011747,              0.0011747,              0.0011747
                     11,                 1.9121,                 2.5009,                 1.9523,                0.08886,                0.22222,                0.06685,                0.03151,                 1.9151,                  3.645,                 1.8041,              0.0012936,              0.0012936,              0.0012936
                     12,                 1.8562,                 2.2824,                 1.8395,                0.01669,                0.16667,                0.02965,                0.01299,                 2.0286,                  5.337,                 1.9501,              0.0014123,              0.0014123,              0.0014123
                     13,                 1.8289,                 2.2028,                 1.8425,                0.83925,                0.11111,                0.17921,                0.05729,                 2.0939,                 3.7921,                   2.02,              0.0015309,              0.0015309,              0.0015309
                     14,                 1.7746,                 1.9601,                 1.7878,                0.34516,                0.16667,                0.14933,                0.05314,                 2.0785,                 3.3829,                 1.9752,              0.0016493,              0.0016493,              0.0016493
                     15,                 1.7662,                 2.4379,                 1.8439,                0.01441,                0.61111,                0.16033,                0.05578,                 2.1082,                  3.401,                 2.0665,              0.0017677,              0.0017677,              0.0017677
                     16,                 1.7852,                 2.2307,                 1.8091,                0.03812,                0.44444,                0.03104,                 0.0133,                 1.7801,                  12.04,                 1.8978,              0.0018859,              0.0018859,              0.0018859
                     17,                 1.7645,                 2.0834,                 1.7927,                 0.4802,                0.30913,                0.36827,                0.13899,                 2.1181,                 2.7412,                 2.2827,              0.0019842,              0.0019842,              0.0019842
                     18,                 1.7842,                 2.0761,                 1.8126,                 0.1422,                0.11111,                0.05658,                0.01159,                  3.781,                 4.1169,                 5.3432,              0.0019842,              0.0019842,              0.0019842
                     19,                 1.6262,                 1.9196,                 1.7108,                0.07586,                0.11111,                0.01982,                0.00593,                 3.6637,                 3.8453,                  5.915,              0.0019832,              0.0019832,              0.0019832
                     20,                 1.7883,                 1.8737,                 1.7822,                0.79148,                0.42315,                0.43502,                0.22663,                 2.2046,                 2.4084,                  2.408,              0.0019822,              0.0019822,              0.0019822
                     21,                 1.7512,                 1.8704,                 1.7549,                0.88395,                 0.4247,                0.45165,                0.22144,                 2.2187,                 2.5754,                 2.3542,              0.0019812,              0.0019812,              0.0019812
                     22,                 1.6952,                 1.8849,                 1.7798,                0.77808,                0.44444,                0.47616,                0.20975,                 2.3272,                 2.2397,                  2.451,              0.0019802,              0.0019802,              0.0019802
                     23,                 1.7074,                 1.9285,                 1.7496,                0.70479,                0.53154,                0.58782,                0.24407,                 2.1033,                 2.8493,                 2.2688,              0.0019792,              0.0019792,              0.0019792
                     24,                 1.7473,                 1.9361,                  1.808,                0.54606,                0.80248,                0.71611,                0.33005,                  1.953,                 3.2166,                 2.2446,              0.0019782,              0.0019782,              0.0019782
                     25,                 1.6562,                 1.7097,                 1.6688,                0.77191,                0.61111,                0.62633,                0.28413,                 2.0134,                 3.2303,                 2.1692,              0.0019772,              0.0019772,              0.0019772
                     26,                 1.6964,                 1.7304,                 1.6759,                0.55488,                0.55556,                0.55293,                0.22701,                 2.2464,                 2.7913,                 2.4636,              0.0019762,              0.0019762,              0.0019762
                     27,                 1.7352,                 1.7997,                 1.7122,                0.68507,                0.48432,                0.59811,                0.23665,                 2.2288,                 2.5635,                 2.4813,              0.0019753,              0.0019753,              0.0019753
                     28,                 1.7211,                 1.8184,                  1.822,                0.83062,                 0.5456,                0.60698,                0.27436,                 2.0026,                 1.7864,                 2.1707,              0.0019743,              0.0019743,              0.0019743
                     29,                 1.6171,                 1.5647,                 1.6606,                0.89829,                0.49147,                0.66173,                0.30089,                 1.9463,                 1.7699,                 2.0412,              0.0019733,              0.0019733,              0.0019733
                     30,                 1.7364,                 1.8356,                 1.8427,                0.96905,                0.61111,                0.70958,                0.32437,                 1.8804,                 1.9481,                 2.0303,              0.0019723,              0.0019723,              0.0019723
                     31,                 1.6437,                 1.6614,                 1.7737,                0.73219,                0.55556,                0.63012,                0.31807,                 2.0083,                 1.9291,                 2.1642,              0.0019713,              0.0019713,              0.0019713
                     32,                 1.7354,                  1.616,                 1.7616,                0.64845,                    0.5,                0.55136,                0.21473,                 2.0389,                 2.1545,                  2.352,              0.0019703,              0.0019703,              0.0019703
                     33,                 1.6969,                 1.7382,                 1.7356,                0.76141,                0.61111,                0.67314,                0.22761,                 1.9965,                 2.1601,                 2.2836,              0.0019693,              0.0019693,              0.0019693
                     34,                 1.6955,                 1.6214,                 1.6961,                0.75676,                    0.5,                0.66085,                0.32262,                 1.9182,                 2.2339,                 2.0678,              0.0019683,              0.0019683,              0.0019683
                     35,                 1.5316,                  1.647,                 1.6487,                 0.8349,                0.38889,                0.53371,                0.21621,                 2.1341,                 3.0208,                 2.3847,              0.0019673,              0.0019673,              0.0019673
                     36,                 1.6034,                 1.5273,                  1.672,                0.34691,                0.61111,                0.39142,                 0.1545,                 2.4989,                 3.4744,                 2.7024,              0.0019663,              0.0019663,              0.0019663
                     37,                 1.6434,                 1.5482,                 1.7043,                0.35373,                0.61111,                0.44951,                0.14117,                 2.3093,                 2.7192,                 2.4313,              0.0019654,              0.0019654,              0.0019654
